job title,company_name,link
 Senior Quality Assurance , Hitachi Energy ,https://nofluffjobs.com/pl/job/senior-quality-assurance-hitachi-energy-krakow-xhobovqe
 Remote Python Test Automation Engineer , Shoper ,https://nofluffjobs.com/pl/job/remote-python-test-automation-engineer-shoper-y7mm3env
 Computer Vision Data Scientist ," Secret Sauce Partners, Inc. ",https://nofluffjobs.com/pl/job/computer-vision-data-scientist-secret-sauce-partners-remote-chyicyyr
 Site Reliability Engineer - Remote , Direct Communication Sp. z o.o. ,https://nofluffjobs.com/pl/job/site-reliability-engineer-remote-direct-communication-km7mgalx
 Data Engineer , Pointpack ,https://nofluffjobs.com/pl/job/data-engineer-pointpack-remote-ftdvbwrx
 Site Reliability Engineer , Box Inc. ,https://nofluffjobs.com/pl/job/site-reliability-engineer-box-warszawa-kfshp7gk
 Remote Senior DevOps Engineer , RITS Professional Services ,https://nofluffjobs.com/pl/job/remote-senior-devops-engineer-rits-professional-services-jqhhgrbh
 Data Scientist , Hays Poland ,https://nofluffjobs.com/pl/job/data-scientist-hays-poland-remote-thcngx2l
 Senior Data Scientist , Objectivity ,https://nofluffjobs.com/pl/job/senior-data-scientist-objectivity-remote-sshyneul
 DevOps Engineer , OpsTalent ,https://nofluffjobs.com/pl/job/devops-engineer-opstalent-remote-su1fbuhj
 Senior Data Scientist , hubQuest ,https://nofluffjobs.com/pl/job/senior-data-scientist-hubquest-remote-pvc8kaiu
 QA Engineer , Tivix Europe Sp. z o.o. ,https://nofluffjobs.com/pl/job/qa-engineer-tivix-europe-wroclaw-dkklemwo
 Senior Machine Learning Engineer , Devire ,https://nofluffjobs.com/pl/job/senior-machine-learning-engineer-devire-remote-6hngjk3h
 Test Automation Engineer , Billennium ,https://nofluffjobs.com/pl/job/test-automation-engineer-billennium-remote-r7lkvkjw
 Trainee Quality Assurance Engineer , Futurehome ,https://nofluffjobs.com/pl/job/trainee-quality-assurance-engineer-futurehome-krakow-8m4wqw3c
 QA Engineer with Python & VMware , CodiLime ,https://nofluffjobs.com/pl/job/qa-engineer-with-python-vmware-codilime-remote-iatcpz8q
 Remote Mid AI developer , Spectre Solutions sp. z o.o. ,https://nofluffjobs.com/pl/job/remote-mid-ai-developer-spectre-solutions-cmuto7yb
 Senior Test Automation Engineer , HARMAN Connected Services ,https://nofluffjobs.com/pl/job/senior-test-automation-engineer-harman-connected-services-lodz-slafo8yo
 Test Automation Engineer - PUSH , HARMAN Connected Services ,https://nofluffjobs.com/pl/job/test-automation-engineer-push-harman-connected-services-lodz-0fw7ngcn
 DevOps , Avenga ,https://nofluffjobs.com/pl/job/devops-avenga-remote-wk94zxs1
 Senior Data Engineer_4285 , IDBC Creative Solutions Kft. ,https://nofluffjobs.com/pl/job/senior-data-engineer-4285-idbc-creative-solutions-kft-remote-passnmvx
 QA Engineer , Synerise ,https://nofluffjobs.com/pl/job/qa-engineer-synerise-remote-vrkqw9ui
